station_code,latitude,longitude,radius_m,location_id,direction,notes
BSR,19.382917,72.832085,120,BSR PF 5,UP,bsr virar end
BSR,19.37846027,72.83411327,120,BSR PF 5,DN,bsr  diva end
CHI,17.543296,73.519325,120,CHI PF2,UP,chi cst end
CHI,17.541427,73.524032,120,CHI PF1,DN,chi mao end
CSMT,18.9474059,72.8385204,120,CSMT PF 18,DN,for all sections
CSMT,18.947378,72.8384533,120,CSMT PF 17,DN,for all sections
CSMT,18.9474059,72.8383406,120,CSMT PF 16,DN,for all sections
CSMT,18.9469898,72.8379678,120,CSMT PF 15,DN,for all sections
CSMT,18.947005,72.8379008,120,CSMT PF 14,DN,for all sections
CSMT,18.9468046,72.8378149,120,CSMT PF 13,DN,for all sections
CSMT,18.94683,72.8377076,120,CSMT PF 12,DN,for all sections
CSMT,18.945728,72.837059,120,CSMT PF12,DN,for all sections
CSMT,18.946764,72.8376299,120,CSMT PF 11,DN,for all sections
CSMT,18.9467666,72.8375735,120,CSMT PF 10,DN,for all sections
CSMT,18.9445265,72.8357573,120,CSMT PF 09,DN,for all sections
CSMT,18.9445291,72.8357036,120,CSMT PF 08,DN,for all sections
CSMT,18.9420561,72.8371881,120,CSMT PF18,UP,cst terminal 
CSMT,18.942065,72.8371332,120,CSMT PF17,UP,cst terminal 
CSMT,18.9420688,72.8370138,120,CSMT PF 16,UP,cst terminal 
CSMT,18.9417022,72.8367845,120,CSMT PF15,UP,cst terminal 
CSMT,18.9416996,72.8366557,120,CSMT PF14,UP,cst terminal 
CSMT,18.940945,72.8365229,120,CSMT PF13,UP,cst terminal 
CSMT,18.9409475,72.8364089,120,CSMT PF12,UP,cst terminal 
CSMT,18.9409514,72.8363083,120,CSMT PF 11,UP,cst terminal 
CSMT,18.9409501,72.836213,120,CSMT PF10,UP,cst terminal 
CSMT,18.9409026,72.8361046,120,CSMT PF9,UP,cst terminal 
CSMT,18.9408798,72.8359437,120,CSMT PF8,UP,cst terminal 
DIVA,19.18815804,73.04110957,120,DIVA PF4,UP,dw bb end
DIVA,19.18816936,73.04210331,120,DIVA PF7,UP,dw bb end pnvl line
DIVA,19.18946194,73.04382787,120,DIVA PF3,DN,dw kyn end
DIVA,19.18977359,73.04539636,120,DIVA PF6,DN,dw pnvl end pnvl line
DR,19.01515,72.841736,120,DR PF12,UP,dr cst end
DR,19.019048,72.844257,120,DR PF10,DN,dr kyn end
