route_id,from_station,to_station,major_stations,description
PUNE-CSMT-MAIN,PUNE,CSMT,"PUNE,LNL,KJT,KYN,DIVA,TNA,DR,CSMT",Main line via Kalyan
PUNE-CSMT-PNVL,PUNE,CSMT,"PUNE,LNL,KJT,PNVL,DIVA,TNA,DR,CSMT",Via KJT-PNVL
PUNE-LTT-MAIN,PUNE,LTT,"PUNE,LNL,KJT,KYN,DIVA,TNA,LTT",LTT Main via Kalyan
PUNE-LTT-PNVL,PUNE,LTT,"PUNE,LNL,KJT,PNVL,DIVA,TNA,LTT",LTT via KJT-PNVL
JL-CSMT,JL,CSMT,"JL,MMR,IGP,KSRA,KYN,DIVA,TNA,DR,CSMT",Main line via Kalyan
JL-LTT,JL,LTT,"JL,MMR,IGP,KSRA,KYN,DIVA,TNA,LTT",LTT Main via Kalyan
RN-CSMT,RN,CSMT,"RN,ROHA,PNVL,DIVA,TNA,DR,CSMT",KR -CSMT
RN-LTT,RN,LTT,"RN,CHI,ROHA,PNVL,DIVA,TNA,LTT",KR-LTT 
JL-PNVL,JL,PNVL,"JL,MMR,IGP,KSRA,KYN,PNVL",PNVL-NE
RN-BSR,RN,BSR,"RN,CHI,ROHA,PNVL,BSR",KR-Western Rly
CSMT-PUNE-MAIN,CSMT,PUNE,"CSMT,DR,TNA,DIVA,KYN,KJT,LNL,PUNE",Main line via Kalyan
CSMT-PUNE-PNVL,CSMT,PUNE,"CSMT,DR,TNA,DIVA,PNVL,KJT,LNL,PUNE",Via PNVL-KJT
LTT-PUNE-MAIN,LTT,PUNE,"LTT,TNA,DIVA,PNVL,KJT,LNL,PUNE",LTT Main via Kalyan
LTT-PUNE-PNVL,LTT,PUNE,"LTT,TNA,DIVA,KYN,KJT,LNL,PUNE",LTT via PNVL-KJT
CSMT-JL,CSMT,JL,"CSMT,DR,TNA,DIVA,KYN,KSRA,IGP,MMR,JL",Main line via Kalyan
LTT-JL,LTT,JL,"LTT,TNA,DIVA,KYN,KSRA,IGP,MMR,JL",LTT Main via Kalyan
CSMT-RN,CSMT,RN,"CSMT,DR,TNA,DIVA,PNVL,ROHA,RN",KR -CSMT
LTT-RN,LTT,RN,"LTT,TNA,DIVA,PNVL,ROHA,CHI,RN",KR-LTT 
PNVL-JL,PNVL,JL,"PNVL,KYN,KSRA,IGP,MMR,JL",PNVL-NE
BSR-RN,BSR,RN,"BSR,PNVL,ROHA,CHI,RN",KR-Western Rly
