section,station,next_station,optional_nodes
CSMT-PUNE,CSMT,MSD,
    CSMT-PUNE,MSD,"WB,SNRD,BY","WB,SNRD"
    CSMT-PUNE,WB,SNRD,
CSMT-PUNE,SNRD,BY,
CSMT-PUNE,BY,"CHG,CRD,PL,PR,DDR,DR","CHG,CRD,PL,PR,DDR"
CSMT-PUNE,CHG,CRD,
CSMT-PUNE,CRD,PL,
CSMT-PUNE,PL,PR,
CSMT-PUNE,PR,DDR,
CSMT-PUNE,DDR,DR,
CSMT-PUNE,DR,MTN,
CSMT-PUNE,MTN,"SION,CLA",
CSMT-PUNE,SION,CLA,
CSMT-PUNE,CLA,"VVH,GC",
CSMT-PUNE,VVH,GC,
CSMT-PUNE,GC,"VK,BND,NHU,MLND","VK,BND,NHU"
CSMT-PUNE,VK,KJRD,
CSMT-PUNE,KJRD,BND,
CSMT-PUNE,BND,"NHU,MLND",NHU
CSMT-PUNE,NHU,MLND,
CSMT-PUNE,MLND,TNA,
CSMT-PUNE,TNA,KLVA,
CSMT-PUNE,KLVA,"T21,MBQ,DIVA","T21,MBQ"
CSMT-PUNE,T21,T22,
CSMT-PUNE,T22,MBQ,
CSMT-PUNE,MBQ,DIVA,
CSMT-PUNE,TNA,"T20,DIVA",
CSMT-PUNE,T20,DIVA,
CSMT-PUNE,DIVA,"DTCC,KOPR,DDCL,DI","DTCC,KOPR,DDCL"
CSMT-PUNE,DTCC,KOPR,
CSMT-PUNE,KOPR,DDCL,
CSMT-PUNE,DDCL,DI,
CSMT-PUNE,DI,"THK,KYN",THK
CSMT-PUNE,THK,KYN,
CSMT-PUNE,KYN,"VLDI,ULNR,ABH","VLDI,ULNR"
CSMT-PUNE,VLDI,ULNR,
CSMT-PUNE,ULNR,ABH,
CSMT-PUNE,ABH,BUD,
CSMT-PUNE,BUD,VGI,
CSMT-PUNE,VGI,"SHLU,NRL",SHLU
CSMT-PUNE,SHLU,NRL,
CSMT-PUNE,NRL,BVS,
CSMT-PUNE,BVS,KJT,
CSMT-PUNE,DIVA,"DTVL,NIIJ",DTVL
CSMT-PUNE,DTVL,NIIJ,
CSMT-PUNE,NIIJ,TPND,
CSMT-PUNE,TPND,"NVRD,KLMG",NVRD
CSMT-PUNE,NVRD,KLMG,
CSMT-PUNE,KLMG,PNVL,
CSMT-PUNE,PNVL,"CKHS,PYJE",CKHS
CSMT-PUNE,CKHS,PYJE,
CSMT-PUNE,PYJE,"T1,CHOK",T1
CSMT-PUNE,T1,CHOK,
CSMT-PUNE,CHOK,"T2,KJT",T2
CSMT-PUNE,T2,KJT,
CSMT-PUNE,KJT,PDI,
CSMT-PUNE,PDI,"T3,JBC",T3
CSMT-PUNE,T3,JBC,
CSMT-PUNE,JBC,"T4,TKW",T4
CSMT-PUNE,T4,TKW,
CSMT-PUNE,TKW,"T5,T23,T7,T8,MHLC","T5,T23,T7,T8"
CSMT-PUNE,T5,T23,
CSMT-PUNE,T23,T7,
CSMT-PUNE,T7,T8,
CSMT-PUNE,T8,MHLC,
CSMT-PUNE,MHLC,"T18,KAD",T18
CSMT-PUNE,T18,KAD,
CSMT-PUNE,KAD,LNL,
CSMT-PUNE,LNL,"LNLX,LNLB,MVL","LNLX,LNLB"
CSMT-PUNE,LNLX,LNLB,
CSMT-PUNE,LNLB,MVL,
CSMT-PUNE,MVL,KMST,
CSMT-PUNE,KMST,"KNHE,VDN,TGN","KNHE,VDN"
CSMT-PUNE,KNHE,VDN,
CSMT-PUNE,VDN,TGN,
CSMT-PUNE,TGN,"GRWD,SLRW,DEHR","GRWD,SLRW"
CSMT-PUNE,GRWD,SLRW,
CSMT-PUNE,SLRW,DEHR,
CSMT-PUNE,DEHR,"AKRD,CCH",AKRD
CSMT-PUNE,AKRD,CCH,
CSMT-PUNE,CCH,PMP,
CSMT-PUNE,PMP,"KSWD,DAPD,KK","KSWD,DAPD"
CSMT-PUNE,KSWD,DAPD,
CSMT-PUNE,DAPD,KK,
CSMT-PUNE,KK,SVJR,
CSMT-PUNE,SVJR,PUNE,
LTT-PUNE,LTT,VVH,
LTT-PUNE,VVH,GC,
LTT-PUNE,GC,VK,
LTT-PUNE,VK,"KJRD,BND",KJRD
LTT-PUNE,KJRD,BND,
LTT-PUNE,BND,"NHU,MLND",NHU
LTT-PUNE,NHU,MLND,
LTT-PUNE,MLND,TNA,
LTT-PUNE,TNA,"T20,DIVA",T20
LTT-PUNE,T20,DIVA,
LTT-PUNE,DIVA,"DTCC,KOPR,DDCL,DI","DTCC,KOPR,DDCL"
LTT-PUNE,DTCC,KOPR,
LTT-PUNE,KOPR,DDCL,
LTT-PUNE,DDCL,DI,
LTT-PUNE,DI,"THK,KYN",THK
LTT-PUNE,THK,KYN,
LTT-PUNE,KYN,"VLDI,ULNR,ABH","VLDI,ULNR"
LTT-PUNE,VLDI,ULNR,
LTT-PUNE,ULNR,ABH,
LTT-PUNE,ABH,BUD,
LTT-PUNE,BUD,VGI,
LTT-PUNE,VGI,"SHLU,NRL",SHLU
LTT-PUNE,SHLU,NRL,
LTT-PUNE,NRL,BVS,
LTT-PUNE,BVS,KJT,
LTT-PUNE,DIVA,"DTVL,NIIJ",DTVL
LTT-PUNE,DTVL,NIIJ,
LTT-PUNE,NIIJ,TPND,
LTT-PUNE,TPND,"NVRD,KLMG",NVRD
LTT-PUNE,NVRD,KLMG,
LTT-PUNE,KLMG,PNVL,
LTT-PUNE,PNVL,"CKHS,PYJE",CKHS
LTT-PUNE,CKHS,PYJE,
LTT-PUNE,PYJE,"T1,CHOK",T1
LTT-PUNE,T1,CHOK,
LTT-PUNE,CHOK,"T2,KJT",T2
LTT-PUNE,T2,KJT,
LTT-PUNE,KJT,PDI,
LTT-PUNE,PDI,"T3,JBC",T3
LTT-PUNE,T3,JBC,
LTT-PUNE,JBC,"T4,TKW",T4
LTT-PUNE,T4,TKW,
LTT-PUNE,TKW,"T5,T23,T7,T8,MHLC","T5,T23,T7,T8"
LTT-PUNE,T5,T23,
LTT-PUNE,T23,T7,
LTT-PUNE,T7,T8,
LTT-PUNE,T8,MHLC,
LTT-PUNE,MHLC,"T18,KAD",T18
LTT-PUNE,T18,KAD,
LTT-PUNE,KAD,LNL,
LTT-PUNE,LNL,"LNLX,LNLB,MVL","LNLX,LNLB"
LTT-PUNE,LNLX,LNLB,
LTT-PUNE,LNLB,MVL,
LTT-PUNE,MVL,KMST,
LTT-PUNE,KMST,"KNHE,VDN,TGN","KNHE,VDN"
LTT-PUNE,KNHE,VDN,
LTT-PUNE,VDN,TGN,
LTT-PUNE,TGN,"GRWD,SLRW,DEHR","GRWD,SLRW"
LTT-PUNE,GRWD,SLRW,
LTT-PUNE,SLRW,DEHR,
LTT-PUNE,DEHR,"AKRD,CCH",AKRD
LTT-PUNE,AKRD,CCH,
LTT-PUNE,CCH,PMP,
LTT-PUNE,PMP,"KSWD,DAPD,KK","KSWD,DAPD"
LTT-PUNE,KSWD,DAPD,
LTT-PUNE,DAPD,KK,
LTT-PUNE,KK,SVJR,
LTT-PUNE,SVJR,PUNE,
CSMT-RN,CSMT,MSD,
CSMT-RN,MSD,"WB,SNRD,BY","WB,SNRD"
CSMT-RN,WB,SNRD,
CSMT-RN,SNRD,BY,
CSMT-RN,BY,"CHG,CRD,PL,PR,DDR,DR","CHG,CRD,PL,PR,DDR"
CSMT-RN,CHG,CRD,
CSMT-RN,CRD,PL,
CSMT-RN,PL,PR,
CSMT-RN,PR,DDR,
CSMT-RN,DDR,DR,
CSMT-RN,DR,MTN,
CSMT-RN,MTN,"SION,CLA",
CSMT-RN,SION,CLA,
CSMT-RN,CLA,"VVH,GC",
CSMT-RN,VVH,GC,
CSMT-RN,GC,"VK,BND,NHU,MLND","VK,BND,NHU"
CSMT-RN,VK,KJRD,
CSMT-RN,KJRD,BND,
CSMT-RN,BND,"NHU,MLND",NHU
CSMT-RN,NHU,MLND,
CSMT-RN,MLND,TNA,
CSMT-RN,TNA,KLVA,
CSMT-RN,KLVA,"T21,MBQ,DIVA","T21,MBQ"
CSMT-RN,T21,T22,
CSMT-RN,T22,MBQ,
CSMT-RN,MBQ,DIVA,
CSMT-RN,TNA,"T20,DIVA",
CSMT-RN,T20,DIVA,
CSMT-RN,DIVA,DTVL,
CSMT-RN,DTVL,NIIJ,
CSMT-RN,NIIJ,TPND,
CSMT-RN,TPND,"NVRD,KLMG",NVRD
CSMT-RN,NVRD,KLMG,
CSMT-RN,KLMG,PNVL,
CSMT-RN,PNVL,SMNE,
CSMT-RN,SMNE,APTA,
CSMT-RN,APTA,"T13,JITE",T13
CSMT-RN,T13,JITE,
CSMT-RN,JITE,PEN,
CSMT-RN,PEN,KASU,
CSMT-RN,KASU,NGTN,
CSMT-RN,NGTN,"T14,ROHA",T14
CSMT-RN,T14,ROHA,
CSMT-RN,ROHA,KOL,
CSMT-RN,KOL,INP,
CSMT-RN,INP,MNI,
CSMT-RN,MNI,GNO,
CSMT-RN,GNO,VEER,
CSMT-RN,VEER,"T445,SAPE,T446,KFD,T447,T448,VINH,T449,DWV","T445,SAPE,T446,KFD,T447,T448,VINH,T449"
CSMT-RN,T445,SAPE,
CSMT-RN,SAPE,T446,
CSMT-RN,T446,KFD,
CSMT-RN,KFD,T447,
CSMT-RN,T447,T448,
CSMT-RN,T448,VINH,
CSMT-RN,VINH,T449,
CSMT-RN,T449,DWV,
CSMT-RN,DWV,"T450,KLBN,KHED","T450,KLBN"
CSMT-RN,T450,KLBN,
CSMT-RN,KLBN,KHED,
CSMT-RN,KHED,"T451,T452,T453,ANO,T454,T455,T456,CHI","T451,T452,T453,ANO,T454,T455,T456"
CSMT-RN,T451,T452,
CSMT-RN,T452,T453,
CSMT-RN,T453,ANO,
CSMT-RN,ANO,T454,
CSMT-RN,T454,T455,
CSMT-RN,T455,T456,
CSMT-RN,T456,CHI,
CSMT-RN,CHI,"T457,KMAH",T457
CSMT-RN,T457,KMAH,
CSMT-RN,KMAH,"T458,SVX,T459,T460,AVRD","T458,SVX,T459,T460"
CSMT-RN,T458,SVX,
CSMT-RN,SVX,T459,
CSMT-RN,T459,T460,
CSMT-RN,T460,AVRD,
CSMT-RN,AVRD,"T461,KDVI,T462,SGR","T461,KDVI,T462"
CSMT-RN,T461,KDVI,
CSMT-RN,KDVI,T462,
CSMT-RN,T462,"SGR,T463,T464,UKC,T465,T466,T467,T468,BOKE,T469,RN","SGR,T463,T464,UKC,T465,T466,T467,T468,BOKE,T469"
CSMT-RN,SGR,T463,
CSMT-RN,T463,T464,
CSMT-RN,T464,UKC,
CSMT-RN,UKC,T465,
CSMT-RN,T465,T466,
CSMT-RN,T466,T467,
CSMT-RN,T467,T468,
CSMT-RN,T468,BOKE,
CSMT-RN,BOKE,T469,
CSMT-RN,T469,RN,
LTT-RN,LTT,VVH,
LTT-RN,VVH,GC,
LTT-RN,GC,VK,
LTT-RN,VK,"KJRD,BND",KJRD
LTT-RN,KJRD,BND,
LTT-RN,BND,"NHU,MLND",NHU
LTT-RN,NHU,MLND,
LTT-RN,MLND,TNA,
LTT-RN,TNA,"T20,DIVA",T20
LTT-RN,T20,DIVA,
LTT-RN,TNA,KLVA,
LTT-RN,KLVA,"T21,MBQ,DIVA","T21,MBQ"
LTT-RN,T21,T22,
LTT-RN,T22,MBQ,
LTT-RN,MBQ,DIVA,
LTT-RN,DIVA,"DTVL,NIIJ",DTVL
LTT-RN,DTVL,NIIJ,
LTT-RN,NIIJ,TPND,
LTT-RN,TPND,"NVRD,KLMG",NVRD
LTT-RN,NVRD,KLMG,
LTT-RN,KLMG,PNVL,
LTT-RN,PNVL,SMNE,
LTT-RN,SMNE,APTA,
LTT-RN,APTA,"T13,JITE",T13
LTT-RN,T13,JITE,
LTT-RN,JITE,PEN,
LTT-RN,PEN,KASU,
LTT-RN,KASU,NGTN,
LTT-RN,NGTN,"T14,ROHA",T14
LTT-RN,T14,ROHA,
LTT-RN,ROHA,KOL,
LTT-RN,KOL,INP,
LTT-RN,INP,MNI,
LTT-RN,MNI,GNO,
LTT-RN,GNO,VEER,
LTT-RN,VEER,"T445,SAPE,T446,KFD,T447,T448,VINH,T449,DWV","T445,SAPE,T446,KFD,T447,T448,VINH,T449"
LTT-RN,T445,SAPE,
LTT-RN,SAPE,T446,
LTT-RN,T446,KFD,
LTT-RN,KFD,T447,
LTT-RN,T447,T448,
LTT-RN,T448,VINH,
LTT-RN,VINH,T449,
LTT-RN,T449,DWV,
LTT-RN,DWV,"T450,KLBN,KHED","T450,KLBN"
LTT-RN,T450,KLBN,
LTT-RN,KLBN,KHED,
LTT-RN,KHED,"T451,T452,T453,ANO,T454,T455,T456,CHI","T451,T452,T453,ANO,T454,T455,T456"
LTT-RN,T451,T452,
LTT-RN,T452,T453,
LTT-RN,T453,ANO,
LTT-RN,ANO,T454,
LTT-RN,T454,T455,
LTT-RN,T455,T456,
LTT-RN,T456,CHI,
LTT-RN,CHI,"T457,KMAH",T457
LTT-RN,T457,KMAH,
LTT-RN,KMAH,"T458,SVX,T459,T460,AVRD","T458,SVX,T459,T460"
LTT-RN,T458,SVX,
LTT-RN,SVX,T459,
LTT-RN,T459,T460,
LTT-RN,T460,AVRD,
LTT-RN,AVRD,"T461,KDVI,T462,SGR","T461,KDVI,T462"
LTT-RN,T461,KDVI,
LTT-RN,KDVI,T462,
LTT-RN,T462,"SGR,T463,T464,UKC,T465,T466,T467,T468,BOKE,T469,RN","SGR,T463,T464,UKC,T465,T466,T467,T468,BOKE,T469"
LTT-RN,SGR,T463,
LTT-RN,T463,T464,
LTT-RN,T464,UKC,
LTT-RN,UKC,T465,
LTT-RN,T465,T466,
LTT-RN,T466,T467,
LTT-RN,T467,T468,
LTT-RN,T468,BOKE,
LTT-RN,BOKE,T469,
LTT-RN,T469,RN,
CSMT-JL,CSMT,MSD,
CSMT-JL,MSD,"WB,SNRD,BY","WB,SNRD"
CSMT-JL,WB,SNRD,
CSMT-JL,SNRD,BY,
CSMT-JL,BY,"CHG,CRD,PL,PR,DDR,DR","CHG,CRD,PL,PR,DDR"
CSMT-JL,CHG,CRD,
CSMT-JL,CRD,PL,
CSMT-JL,PL,PR,
CSMT-JL,PR,DDR,
CSMT-JL,DDR,DR,
CSMT-JL,DR,MTN,
CSMT-JL,MTN,"SION,CLA",
CSMT-JL,SION,CLA,
CSMT-JL,CLA,"VVH,GC",
CSMT-JL,VVH,GC,
CSMT-JL,GC,"VK,BND,NHU,MLND","VK,BND,NHU"
CSMT-JL,VK,KJRD,
CSMT-JL,KJRD,BND,
CSMT-JL,BND,"NHU,MLND",NHU
CSMT-JL,NHU,MLND,
CSMT-JL,MLND,TNA,
CSMT-JL,TNA,KLVA,
CSMT-JL,KLVA,"T21,MBQ,DIVA","T21,MBQ"
CSMT-JL,T21,T22,
CSMT-JL,T22,MBQ,
CSMT-JL,MBQ,DIVA,
CSMT-JL,TNA,"T20,DIVA",
CSMT-JL,T20,DIVA,
CSMT-JL,DIVA,"DTCC,KOPR,DDCL,DI","DTCC,KOPR,DDCL"
CSMT-JL,DTCC,KOPR,
CSMT-JL,KOPR,DDCL,
CSMT-JL,DDCL,DI,
CSMT-JL,DI,"THK,KYN",THK
CSMT-JL,THK,KYN,
CSMT-JL,KYN,"SHAD,ABY,TLA","SHAD,ABY"
CSMT-JL,SHAD,ABY,
CSMT-JL,ABY,TLA,
CSMT-JL,TLA,KDV,
CSMT-JL,KDV,VSD,
CSMT-JL,VSD,ASO,
CSMT-JL,ASO,ATG,
CSMT-JL,ATG,THS,
CSMT-JL,THS,KE,
CSMT-JL,KE,OMB,
CSMT-JL,OMB,KSRA,
CSMT-JL,KSRA,"X103,X102,X101,IGP","X103,X102,X101"
CSMT-JL,X103,X102,
CSMT-JL,X102,X101,
CSMT-JL,X101,IGP,
CSMT-JL,IGP,GO,
CSMT-JL,GO,PI,
CSMT-JL,PI,AV,
CSMT-JL,AV,LT,
CSMT-JL,LT,DVL,
CSMT-JL,DVL,NK,
CSMT-JL,NK,ODHA,
CSMT-JL,ODHA,KW,
CSMT-JL,KW,KBSN,
CSMT-JL,KBSN,NR,
CSMT-JL,NR,UGN,
CSMT-JL,UGN,LS,
CSMT-JL,LS,SUM,
CSMT-JL,SUM,MMR,
CSMT-JL,MMR,PNV,
CSMT-JL,PNV,PNVC,
CSMT-JL,PNVC,HSL,
CSMT-JL,HSL,PJN,
CSMT-JL,PJN,NGN,
CSMT-JL,NGN,PKE,
CSMT-JL,PKE,NI,
CSMT-JL,NI,HPR,
CSMT-JL,HPR,CSN,
CSMT-JL,CSN,VGL,
CSMT-JL,VGL,KJ,
