train_number,train_name,from_station,to_station,departure_time,arrival_time,direction
12811,LTT-THE,LTT,IGP,0:15,2:50,DN
22848,LTT-VSKP,LTT,IGP,0:15,2:50,DN
12879,LTT-BBS,LTT,IGP,0:15,2:50,DN
22865,LTT-PURI,LTT,IGP,0:15,2:50,DN
22177,CSMT-BSB,CSMT,IGP,0:10,3:00,DN
22538,LTT-GKP,LTT,IGP,0:35,3:15,DN
20103,LTT-GKP,LTT,IGP,5:23,8:00,DN
17617,CSMT-NED,CSMT,MMR,5:30,8:15,DN
12165,LTT-GKP,LTT,IGP,6:00,8:57,DN
22183,LTT-AYC,LTT,IGP,6:00,8:57,DN
22129,LTT-AYC,LTT,IGP,6:00,8:57,DN
12859,CSMT-HWH,CSMT,IGP,6:00,8:50,DN
22223,CSMT-SNSI,CSMT,SNSI,6:20,11:30,DN
15017,LTT-GKP,LTT,IGP,6:35,9:10,DN
12741,VSG - PNBE,KYN,IGP,7:37,9:25,DN
12519,LTT-KYQ,LTT,IGP,7:50,10:15,DN
22554,LTT-RXL,LTT,IGP,7:55,10:15,DN
12171,LTT-HW,LTT,IGP,7:55,10:15,DN
12336,LTT-BGP,LTT,IGP,8:05,10:35,DN
22312,LTT-GODA,LTT,IGP,8:05,10:35,DN
14313,LTT-BE,LTT,IGP,8:05,10:35,DN
15945,LTT-DBRG,LTT,IGP,8:05,10:35,DN
15647,LTT-GHY,LTT,IGP,8:05,10:35,DN
12534,CSMT-LJN,CSMT,IGP,8:25,11:00,DN
11055,LTT-GKP,LTT,IGP,10:55,13:45,DN
11059,LTT-CPR,LTT,IGP,10:55,13:45,DN
15182,LTT-MAU,LTT,IGP,11:10,13:55,DN
12869,CSMT-HWH,CSMT,IGP,11:05,13:55,DN
12362,CSMT-ASN,CSMT,IGP,11:05,13:55,DN
22360,CSMT-PNBE,CSMT,IGP,11:05,13:55,DN
11061,LTT-JYG,LTT,IGP,11:30,14:10,DN
11015,AMRUT BHARAT,LTT,IGP,12:00,14:30,DN
11011,CSMT-DHI,CSMT,IGP,12:00,14:45,DN
12071,CSMT-J,CSMT,MMR,12:10,15:00,DN
12617,ERS-NZM,KYN,IGP,13:54,15:50,DN
22511,LTT-KYQ,LTT,IGP,13:15,15:37,DN
22357,LTT-GAYA,LTT,IGP,13:15,15:37,DN
20706,CSMT-J-VB,CSMT,MMR,13:10,17:30,DN
12188,CSMT-JBP,CSMT,IGP,13:30,16:15,DN
12598,CSMT-GKP,CSMT,IGP,13:30,16:15,DN
22121,LTT-LKO,LTT,IGP,13:35,16:15,DN
22103,LTT-AYC,LTT,IGP,13:35,16:15,DN
11071,LTT-BSBS,LTT,IGP,13:50,16:25,DN
13202,LTT- PNBE,LTT,IGP,14:45,17:25,DN
12139,CSMT-NGP,CSMT,IGP,14:55,17:40,DN
15066,PNVL-GKP,PNVL,IGP,15:50,18:30,DN
11079,LTT-GKP,LTT,IGP,15:45,18:30,DN
12143,LTT-SLN,LTT,IGP,15:45,18:30,DN
22221,CSMT-NZM,CSMT,JL,16:00,20:58,DN
12107,LTT-STP,LTT,IGP,16:25,18:55,DN
12161,LTT-AGC,LTT,IGP,16:25,18:55,DN
12153,LTT-RKMP,LTT,IGP,16:25,18:55,DN
12173,LTT-PBH,LTT,IGP,16:25,18:55,DN
15268,LTT-RXL,LTT,IGP,16:35,20:00,DN
11081,LTT-GKP,LTT,IGP,16:35,20:00,DN
22584,LTT-CPR,LTT,IGP,16:35,20:00,DN
18610,LTT-RNC,LTT,IGP,16:35,20:00,DN
12546,LTT-RXL,LTT,IGP,16:35,20:00,DN
17666,LTT-NED,LTT,IGP,16:35,20:00,DN
11001,CSMT-ADB,CSMT,MMR,16:35,19:15,DN
17668,LTT-NED,LTT,IGP,16:55,20:15,DN
12261,CSMT-HWH,CSMT,IGP,17:15,19:35,DN
12293,LTT-PRYJ,LTT,IGP,17:20,19:35,DN
12109,CSMT-IGP,CSMT,IGP,18:15,20:50,DN
17612,CSMT-NED,CSMT,MMR,18:45,21:25,DN
12105,CSMT-G,CSMT,IGP,19:05,21:45,DN
12137,CSMT-FZR,CSMT,IGP,19:35,22:20,DN
